Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
429.17335,C00445,M-CO+H[1+],0.00212646676999384
377.03585,C00365,M+HCOONa[1+],0.000173533229997247
542.11329,C05674,M+HCOONa[1+],0.00158646677004981
117.05494,C00141,M+H[1+],0.000363533230000712
117.05494,C00279,M-HCOOK+H[1+],0.000363533230000712
117.05494,C01801,M-H2O+H[1+],0.000363533230014923
117.05494,C00379,M-H4O2+H[1+],0.000363533230000712
117.05494,C00532,M-H4O2+H[1+],0.000363533230000712
117.05494,C03827,M-HCOOH+H[1+],0.000263533230025814
117.05494,C00322,M-CO2+H[1+],0.000263533229997392
81.03357,C00141,M-H4O2+H[1+],0.000193533229989384
81.03357,C00642,M-C3H4O2+H[1+],9.35332300002756e-05
81.03357,C04043,M-C3H4O2+H[1+],9.35332300002756e-05
81.03357,C05852,M-C3H4O2+H[1+],9.35332300002756e-05
81.03357,C03012,M+2H[2+],9.35332300002756e-05
377.03632,C00365,M+HCOONa[1+],0.000643533230004323
459.19907,C11132,M-H2O+H[1+],0.00220646677001923
197.02095,C00672,M-H2O+H[1+],7.35332299939273e-05
197.02095,C00673,M-H2O+H[1+],7.35332299939273e-05
197.02095,C01068,M-H4O2+H[1+],7.35332299939273e-05
197.02096,C00672,M-H2O+H[1+],8.35332299971014e-05
197.02096,C00673,M-H2O+H[1+],8.35332299971014e-05
197.02096,C01068,M-H4O2+H[1+],8.35332299971014e-05
255.04076,C05640,M-HCOOH+H[1+],0.000683533229988598
179.01037,C00672,M-H4O2+H[1+],9.35332299718539e-05
179.01037,C00673,M-H4O2+H[1+],9.35332299718539e-05
81.03366,C00141,M-H4O2+H[1+],0.00028353322998953
81.03366,C00642,M-C3H4O2+H[1+],0.000183533230000421
81.03366,C04043,M-C3H4O2+H[1+],0.000183533230000421
81.03366,C05852,M-C3H4O2+H[1+],0.000183533230000421
81.03366,C03012,M+2H[2+],0.000183533230000421
181.02183,C00106,M+HCOONa[1+],0.00014646677001906
181.02183,C00337,M+Na[1+],0.00024646677002238
132.10202,C00123,M+H[1+],0.000143533229987725
132.10202,C00407,M+H[1+],0.000143533229987725
132.10202,C01233,M-HCOOK+H[1+],0.000143533229987725
79.02126,C05823,M-CO2+H[1+],1.64667699920074e-05
204.04882,C00147,M+HCOONa[1+],0.000356466770000452
377.03567,C00365,M+HCOONa[1+],6.46677000304408e-06
443.1893,C01674,M+H2O+H[1+],0.0021235332299625
297.06944,C00526,M+HCOONa[1+],0.000163533229965651
377.03586,C00365,M+HCOONa[1+],0.000183533230028843
117.05488,C00141,M+H[1+],0.000303533229995878
117.05488,C00279,M-HCOOK+H[1+],0.000303533229995878
117.05488,C01801,M-H2O+H[1+],0.000303533230010089
117.05488,C00379,M-H4O2+H[1+],0.000303533229995878
117.05488,C00532,M-H4O2+H[1+],0.000303533229995878
117.05488,C03827,M-HCOOH+H[1+],0.00020353323002098
117.05488,C00322,M-CO2+H[1+],0.000203533229992559
99.04399,C00148,M-NH3+H[1+],8.64667700000155e-05
99.04399,C00763,M-NH3+H[1+],8.64667700000155e-05
99.04399,C01801,M-H4O2+H[1+],1.35332300033042e-05
99.04399,C00141,M-H2O+H[1+],1.35332299890933e-05
99.04399,C05576,M-C3H4O2+H[1+],8.64667699858046e-05
325.04328,C00105,M+H[1+],0.000103533229946606
325.04328,C01103,M-CO2+H[1+],0.00010353323000345
